title,date,full_text,link
ATIS’ Next G Alliance Maps the Spectrum Needs for the 6G Future,"June 25, 2024",ATIS’ Next G Alliance announced publication of Spectrum Needs for 6G.,https://www.microwavejournal.com/articles/42274-atis-next-g-alliance-maps-the-spectrum-needs-for-the-6g-future
Rohde & Schwarz Joins AI-RAN Alliance and Leverages Its T&M Expertise to Unlock Potential of AI for Wireless Communications,"June 24, 2024",Rohde & Schwarz has become the latest member of the recently formed AI-RAN Alliance.,https://www.microwavejournal.com/articles/42270-rohde-and-schwarz-joins-ai-ran-alliance-and-leverages-its-t-and-m-expertise-to-unlock-potential-of-ai-for-wireless-communications
Rohde & Schwarz Achieves Breakthrough in Sub-THz Research with 140 GHz Multi-Channel Transceiver Characterization,"June 13, 2024","At IMS 2024, Rohde & Schwarz will present a demonstration of the characterization of the TX/RX multi-antenna chip (CHARM) operating at up to 140 GHz using the D-Band OTA test solution. ",https://www.microwavejournal.com/articles/42199-rohde-and-schwarz-achieves-breakthrough-in-sub-thz-research-with-140-ghz-multi-channel-transceiver-characterization
"At IEEE International Communications Conference, VIAVI and Partners Will Showcase 6G and AI Research and O-RAN and NTN Test Solutions","June 10, 2024","Viavi Solutions Inc. announced that it will be presenting research, solutions and perspectives on next-generation networking technologies including 6G, AI, Open RAN  and NTNs at the IEEE International Communications Conference in Denver, Colo.",https://www.microwavejournal.com/articles/42175-at-ieee-international-communications-conference-viavi-and-partners-will-showcase-6g-and-ai-research-and-o-ran-and-ntn-test-solutions
Keysight and Ericsson to Demonstrate Pre-6G Network at IEEE International Conference on Communications 2024,"June 6, 2024","Keysight and Ericsson have collaborated to create a pre-standard 6G network proof of concept that will be shown at the IEEE International Conference on Communications 2024. 
",https://www.microwavejournal.com/articles/42143-keysight-and-ericsson-to-demonstrate-pre-6g-network-at-ieee-international-conference-on-communications-2024
The Open 6G OTIC at Northeastern University Announces General Availability of Open RAN Testing and Integration Solutions,"May 15, 2024",The Open6G OTIC  at Northeastern University announces the general availability of testing and integration solutions for Open RAN.,https://www.microwavejournal.com/articles/41986-the-open-6g-otic-at-northeastern-university-announces-general-availability-of-open-ran-testing-and-integration-solutions
Beyond the Bench: Adapting Test and Measurement for 6G in the Age of AI,"May 13, 2024","As part of the EU’s drive to support a multifaceted approach to addressing 6G challenges and promises, CEA-Leti has been chosen to coordinate two projects to help build first-class 6G technology capabilities and boost standardization efforts across Europe.",https://www.microwavejournal.com/articles/41916-beyond-the-bench-adapting-test-and-measurement-for-6g-in-the-age-of-ai
Artificial Intelligence In 6G: More Than Large-Language Models,"May 13, 2024",A team led by researchers from the University of Glasgow has developed an innovative wireless communications antenna which combines the unique properties of metamaterials with sophisticated signal processing to deliver a new peak of performance.,https://www.microwavejournal.com/articles/41917-artificial-intelligence-in-6g-more-than-large-language-models
CEA-Leti Selected to Coordinate Two EU Projects for Developing 6G,"April 25, 2024",N/A,https://www.microwavejournal.com/articles/41845-cea-leti-selected-to-coordinate-two-eu-projects-for-developing-6g
Research Breakthrough Could Enable Future 6G Communications Networks,"April 12, 2024",N/A,https://www.microwavejournal.com/articles/41782-research-breakthrough-could-enable-future-6g-communications-networks
"DOCOMO, NTT, NEC and Fujitsu Develop Top-level Sub-THz 6G Device","April 11, 2024","NTT DOCOMO, INC., NTT Corporation, NEC Corporation and Fujitsu Limited jointly announced the development of a top-level wireless device capable of ultra-high speed 100 Gbps transmissions in the 100 GHz and 300 GHz sub-terahertz bands.",https://www.microwavejournal.com/articles/41778-docomo-ntt-nec-and-fujitsu-develop-top-level-sub-thz-6g-device
VIAVI Unveils Advances in 6G and AI Research with Introduction of 6G City-Scale Digital Twin and AI-Native Air Interface,"April 4, 2024",Viavi Solutions Inc. shared milestones in 6G and AI research based on the company’s 6G Forward Program. ,https://www.microwavejournal.com/articles/41742-viavi-unveils-advances-in-6g-and-ai-research-with-introduction-of-6g-city-scale-digital-twin-and-ai-native-air-interface
IDTechEx Discusses AiP Market Dynamics: Drivers and Challenges in 5G and 6G,"April 3, 2024","IDTechEx released its report, “Antenna in Package (AiP) for 5G and 6G 2024-2034: Technologies, Trends, Markets.”",https://www.microwavejournal.com/articles/41737-idtechex-discusses-aip-market-dynamics-drivers-and-challenges-in-5g-and-6g
Semtech Pioneers the Path to 6G with Advanced 5G Wireless Technologies,"March 28, 2024","Highlighting its Tri-Edge™ GN2256 for 50G DWDM applications alongside its expansive 5G wireless portfolio, Semtech is setting new standards for the telecommunications industry",https://www.microwavejournal.com/articles/41714-semtech-pioneers-the-path-to-6g-with-advanced-5g-wireless-technologies
